,dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
266,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.1,6.878749294999061e-08,splice_instance_0.2
267,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.1,3.677351240079143e-06,splice_instance_0.3
268,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.1,8.190028218280908e-08,splice_sym_0.0
269,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.1,1.0219140407500873e-06,splice_sym_0.1
270,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.1,2.6552055626683435e-05,splice_sym_0.2
271,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.1,2.6481461449812e-08,splice_sym_0.3
272,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.1,5.21970744180993e-06,splice_pair_0.0
273,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.1,1.9673823369617886e-08,splice_pair_0.1
274,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.1,5.318751295839872e-06,splice_pair_0.2
275,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.1,2.8510246794082285e-06,splice_pair_0.3
276,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.09,7.993889348931618e-08,splice_instance_0.0
277,splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.09,8.795620917707332e-07,splice_instance_0.1
278,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.09,2.3171387540302866e-07,splice_instance_0.2
279,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.09,1.3191209929564481e-05,splice_instance_0.3
280,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.09,5.136633042618922e-07,splice_sym_0.0
281,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.09,4.411745092544043e-06,splice_sym_0.1
282,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.09,0.00013016333025434512,splice_sym_0.2
283,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.09,8.911196971121446e-08,splice_sym_0.3
284,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.09,2.6813022373353054e-05,splice_pair_0.0
285,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.09,1.0327806144431803e-07,splice_pair_0.1
286,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.09,2.0932213835948025e-05,splice_pair_0.2
287,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.09,1.1510775211967776e-05,splice_pair_0.3
288,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.08,2.8454256422000147e-07,splice_instance_0.0
289,splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.08,3.214874294039443e-06,splice_instance_0.1
290,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.08,9.621787674367652e-07,splice_instance_0.2
291,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.08,5.869563801977805e-05,splice_instance_0.3
292,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.08,5.4189812950840466e-06,splice_sym_0.0
293,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.08,2.5687635303983157e-05,splice_sym_0.1
294,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.08,0.0008677742105014512,splice_sym_0.2
295,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.08,3.7020232325920233e-07,splice_sym_0.3
296,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.08,0.00019747219442623113,splice_pair_0.0
297,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.08,8.254611355217645e-07,splice_pair_0.1
298,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.08,0.0001054189935165934,splice_pair_0.2
299,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.08,6.04199895080387e-05,splice_pair_0.3
264,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.1,2.6626379749346005e-08,splice_instance_0.0
265,splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.1,2.862293882349132e-07,splice_instance_0.1
266,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.1,6.878749294999061e-08,splice_instance_0.2
267,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.1,3.677351240079143e-06,splice_instance_0.3
268,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.1,8.190028218280908e-08,splice_sym_0.0
269,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.1,1.0219140407500873e-06,splice_sym_0.1
270,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.1,2.6552055626683435e-05,splice_sym_0.2
271,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.1,2.6481461449812e-08,splice_sym_0.3
272,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.1,5.21970744180993e-06,splice_pair_0.0
273,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.1,1.9673823369617886e-08,splice_pair_0.1
274,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.1,5.318751295839872e-06,splice_pair_0.2
275,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.1,2.8510246794082285e-06,splice_pair_0.3
276,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.09,7.993889348931618e-08,splice_instance_0.0
277,splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.09,8.795620917707332e-07,splice_instance_0.1
278,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.09,2.3171387540302866e-07,splice_instance_0.2
279,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.09,1.3191209929564481e-05,splice_instance_0.3
280,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.09,5.136633042618922e-07,splice_sym_0.0
281,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.09,4.411745092544043e-06,splice_sym_0.1
282,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.09,0.00013016333025434512,splice_sym_0.2
283,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.09,8.911196971121446e-08,splice_sym_0.3
284,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.09,2.6813022373353054e-05,splice_pair_0.0
285,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.09,1.0327806144431803e-07,splice_pair_0.1
286,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.09,2.0932213835948025e-05,splice_pair_0.2
287,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.09,1.1510775211967776e-05,splice_pair_0.3
288,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.08,2.8454256422000147e-07,splice_instance_0.0
289,splice,instance,0.1,0.02642372016666655,0.005162443853476286,0.8883396939308716,0.08,3.214874294039443e-06,splice_instance_0.1
290,splice,instance,0.2,0.030838557900000136,0.0040391649063936655,0.9448748242111724,0.08,9.621787674367652e-07,splice_instance_0.2
291,splice,instance,0.3,0.03697753413333339,0.006182556572197243,0.914516495382449,0.08,5.869563801977805e-05,splice_instance_0.3
292,splice,sym,0.0,0.05261233013333336,0.0028301028973004992,0.9900239070019982,0.08,5.4189812950840466e-06,splice_sym_0.0
293,splice,sym,0.1,0.04323406466666667,0.004700932993150737,0.961023803990522,0.08,2.5687635303983157e-05,splice_sym_0.1
294,splice,sym,0.2,0.050979623600000024,0.006296831134783094,0.9505314787076572,0.08,0.0008677742105014512,splice_sym_0.2
295,splice,sym,0.3,0.03039446150000006,0.003598516249468463,0.9542785565604538,0.08,3.7020232325920233e-07,splice_sym_0.3
296,splice,pair,0.0,0.05016980123333327,0.0051233180719508185,0.9653846191057311,0.08,0.00019747219442623113,splice_pair_0.0
297,splice,pair,0.1,0.04762277976666669,0.0026073059811314026,0.9896711241120387,0.08,8.254611355217645e-07,splice_pair_0.1
298,splice,pair,0.2,0.041366248633333325,0.006043717335874089,0.9327393078891666,0.08,0.0001054189935165934,splice_pair_0.2
299,splice,pair,0.3,0.04166666646666659,0.005531625822697984,0.9434908227251529,0.08,6.04199895080387e-05,splice_pair_0.3
300,splice,instance,0.0,0.02369383476666666,0.003947673859426975,0.9150404000940406,0.07,1.2746957352014585e-06,splice_instance_0.0
