noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed,num_classes,is_balanced,class_dist
0.2,0.33576,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.30000000000000004,0.41352,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.4,0.49532,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.5,0.577,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.6,0.65992,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.7000000000000001,0.74252,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.8,0.82192,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.9,0.887,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.1,0.27176,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.2,0.33576,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.30000000000000004,0.41352,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.4,0.49532,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.5,0.577,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.6,0.65992,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.7000000000000001,0.74252,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.8,0.82192,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.9,0.887,cifar10n_random2,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.11), (4, 0.11), (1, 0.08), (2, 0.11), (7, 0.11), (8, 0.09), (3, 0.11), (5, 0.08), (0, 0.1), (6, 0.09), (9, 0.1), (4, 0.11), (1, 0.08), (0, 0.1), (7, 0.11), (8, 0.09), (5, 0.08), (2, 0.12), (3, 0.11), (4, 0.12), (9, 0.1), (1, 0.07), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.07), (2, 0.14), (3, 0.11), (6, 0.09), (4, 0.13), (9, 0.09), (2, 0.15), (1, 0.06), (0, 0.1), (7, 0.11), (8, 0.1), (5, 0.06), (6, 0.09), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.05), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (6, 0.09), (3, 0.12), (4, 0.16), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.04), (3, 0.12), (6, 0.08), (4, 0.17), (9, 0.07), (2, 0.2), (1, 0.04), (0, 0.09), (7, 0.1), (8, 0.1), (5, 0.03), (3, 0.13), (6, 0.08), (4, 0.18), (9, 0.06), (2, 0.21), (1, 0.03), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.08), (3, 0.13), (5, 0.02)]"
0.1,0.32578,cifar10n_random1,instance,0,0.01,1,10,True,"[(6, 0.09), (9, 0.09), (4, 0.1), (1, 0.1), (2, 0.12), (7, 0.1), (8, 0.1), (3, 0.1), (0, 0.1), (5, 0.09), (6, 0.09), (9, 0.09), (4, 0.11), (1, 0.09), (0, 0.1), (7, 0.1), (8, 0.1), (2, 0.13), (5, 0.09), (3, 0.1), (4, 0.12), (9, 0.09), (1, 0.08), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.09), (2, 0.14), (5, 0.08), (3, 0.1), (4, 0.13), (9, 0.08), (2, 0.15), (1, 0.07), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.09), (5, 0.07), (3, 0.11), (4, 0.14), (9, 0.08), (2, 0.16), (1, 0.06), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.09), (3, 0.11), (5, 0.06), (4, 0.16), (9, 0.08), (2, 0.17), (1, 0.05), (0, 0.09), (7, 0.1), (8, 0.1), (6, 0.09), (3, 0.11), (5, 0.05), (4, 0.17), (9, 0.08), (2, 0.18), (1, 0.05), (0, 0.08), (7, 0.1), (8, 0.1), (3, 0.12), (6, 0.09), (5, 0.04), (4, 0.18), (9, 0.07), (2, 0.19), (1, 0.04), (0, 0.08), (7, 0.1), (8, 0.1), (3, 0.12), (6, 0.09), (5, 0.03), (4, 0.18), (9, 0.07), (2, 0.2), (1, 0.03), (0, 0.08), (7, 0.1), (8, 0.11), (3, 0.13), (6, 0.09), (5, 0.02)]"
