noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.3,0.27895,yxguassian,sym,0,0.1,2
0.4,0.3532,yxguassian,sym,0,0.1,2
0.5,0.5089,yxguassian,sym,0,0.1,2
0.6,0.6468,yxguassian,sym,0,0.1,2
0.7,0.72105,yxguassian,sym,0,0.1,2
0.8,0.7955,yxguassian,sym,0,0.1,2
0.9,0.8704,yxguassian,sym,0,0.1,2
0.1,0.2045,yxguassian,sym,0,0.2,2
0.2,0.1296,yxguassian,sym,0,0.2,2
0.3,0.20405,yxguassian,sym,0,0.2,2
0.4,0.2783,yxguassian,sym,0,0.2,2
0.5,0.5089,yxguassian,sym,0,0.2,2
0.6,0.7217,yxguassian,sym,0,0.2,2
0.7,0.79595,yxguassian,sym,0,0.2,2
0.8,0.8704,yxguassian,sym,0,0.2,2
0.9,0.7955,yxguassian,sym,0,0.2,2
0.1,0.27895,yxguassian,sym,0,0.3,2
0.2,0.20405,yxguassian,sym,0,0.3,2
0.3,0.1296,yxguassian,sym,0,0.3,2
0.4,0.20385,yxguassian,sym,0,0.3,2
0.5,0.5089,yxguassian,sym,0,0.3,2
0.6,0.79615,yxguassian,sym,0,0.3,2
0.7,0.8704,yxguassian,sym,0,0.3,2
0.8,0.79595,yxguassian,sym,0,0.3,2
0.9,0.72105,yxguassian,sym,0,0.3,2
0.1,0.3532,yxguassian,sym,0,0.4,2
0.2,0.2783,yxguassian,sym,0,0.4,2
0.3,0.20385,yxguassian,sym,0,0.4,2
0.4,0.1296,yxguassian,sym,0,0.4,2
0.5,0.5089,yxguassian,sym,0,0.4,2
0.6,0.8704,yxguassian,sym,0,0.4,2
0.7,0.79615,yxguassian,sym,0,0.4,2
0.8,0.7217,yxguassian,sym,0,0.4,2
0.9,0.6468,yxguassian,sym,0,0.4,2
0.1,0.6468,yxguassian,sym,0,0.6,2
0.2,0.7217,yxguassian,sym,0,0.6,2
0.3,0.79615,yxguassian,sym,0,0.6,2
0.4,0.8704,yxguassian,sym,0,0.6,2
0.5,0.5089,yxguassian,sym,0,0.6,2
0.6,0.1296,yxguassian,sym,0,0.6,2
0.7,0.20385,yxguassian,sym,0,0.6,2
0.8,0.2783,yxguassian,sym,0,0.6,2
0.9,0.3532,yxguassian,sym,0,0.6,2
0.1,0.72105,yxguassian,sym,0,0.7,2
0.2,0.79595,yxguassian,sym,0,0.7,2
0.3,0.8704,yxguassian,sym,0,0.7,2
0.4,0.79615,yxguassian,sym,0,0.7,2
0.5,0.5089,yxguassian,sym,0,0.7,2
0.6,0.20385,yxguassian,sym,0,0.7,2
0.7,0.1296,yxguassian,sym,0,0.7,2
0.8,0.20405,yxguassian,sym,0,0.7,2
0.9,0.27895,yxguassian,sym,0,0.7,2
0.1,0.7955,yxguassian,sym,0,0.8,2
0.2,0.8704,yxguassian,sym,0,0.8,2
0.3,0.79595,yxguassian,sym,0,0.8,2
0.4,0.7217,yxguassian,sym,0,0.8,2
0.5,0.5089,yxguassian,sym,0,0.8,2
0.6,0.2783,yxguassian,sym,0,0.8,2
0.7,0.20405,yxguassian,sym,0,0.8,2
0.8,0.1296,yxguassian,sym,0,0.8,2
0.9,0.2045,yxguassian,sym,0,0.8,2
0.1,0.8704,yxguassian,sym,0,0.9,2
0.2,0.7955,yxguassian,sym,0,0.9,2
0.3,0.72105,yxguassian,sym,0,0.9,2
0.4,0.6468,yxguassian,sym,0,0.9,2
0.5,0.5089,yxguassian,sym,0,0.9,2
0.6,0.3532,yxguassian,sym,0,0.9,2
0.7,0.27895,yxguassian,sym,0,0.9,2
0.8,0.2045,yxguassian,sym,0,0.9,2
0.9,0.1296,yxguassian,sym,0,0.9,2
0.1,0.1295,yxguassian,sym,0,0.1,3
0.2,0.20035,yxguassian,sym,0,0.1,3
0.3,0.27655,yxguassian,sym,0,0.1,3
0.4,0.35215,yxguassian,sym,0,0.1,3
0.5,0.5015,yxguassian,sym,0,0.1,3
0.6,0.64785,yxguassian,sym,0,0.1,3
0.7,0.72345,yxguassian,sym,0,0.1,3
0.8,0.79965,yxguassian,sym,0,0.1,3
0.9,0.8705,yxguassian,sym,0,0.1,3
0.1,0.20035,yxguassian,sym,0,0.2,3
0.2,0.1295,yxguassian,sym,0,0.2,3
0.3,0.2057,yxguassian,sym,0,0.2,3
0.4,0.2813,yxguassian,sym,0,0.2,3
0.5,0.5015,yxguassian,sym,0,0.2,3
0.6,0.7187,yxguassian,sym,0,0.2,3
0.7,0.7943,yxguassian,sym,0,0.2,3
0.8,0.8705,yxguassian,sym,0,0.2,3
0.9,0.79965,yxguassian,sym,0,0.2,3
0.1,0.27655,yxguassian,sym,0,0.3,3
0.2,0.2057,yxguassian,sym,0,0.3,3
0.3,0.1295,yxguassian,sym,0,0.3,3
0.4,0.2051,yxguassian,sym,0,0.3,3
0.5,0.5015,yxguassian,sym,0,0.3,3
0.6,0.7949,yxguassian,sym,0,0.3,3
0.7,0.8705,yxguassian,sym,0,0.3,3
0.8,0.7943,yxguassian,sym,0,0.3,3
0.9,0.72345,yxguassian,sym,0,0.3,3
0.1,0.35215,yxguassian,sym,0,0.4,3
0.2,0.2813,yxguassian,sym,0,0.4,3
0.3,0.2051,yxguassian,sym,0,0.4,3
0.4,0.1295,yxguassian,sym,0,0.4,3
0.5,0.5015,yxguassian,sym,0,0.4,3
0.6,0.8705,yxguassian,sym,0,0.4,3
0.7,0.7949,yxguassian,sym,0,0.4,3
0.8,0.7187,yxguassian,sym,0,0.4,3
0.9,0.64785,yxguassian,sym,0,0.4,3
0.1,0.64785,yxguassian,sym,0,0.6,3
0.2,0.7187,yxguassian,sym,0,0.6,3
0.3,0.7949,yxguassian,sym,0,0.6,3
0.4,0.8705,yxguassian,sym,0,0.6,3
0.5,0.5015,yxguassian,sym,0,0.6,3
0.6,0.1295,yxguassian,sym,0,0.6,3
0.7,0.2051,yxguassian,sym,0,0.6,3
0.8,0.2813,yxguassian,sym,0,0.6,3
0.9,0.35215,yxguassian,sym,0,0.6,3
0.1,0.72345,yxguassian,sym,0,0.7,3
0.2,0.7943,yxguassian,sym,0,0.7,3
0.3,0.8705,yxguassian,sym,0,0.7,3
0.4,0.7949,yxguassian,sym,0,0.7,3
0.5,0.5015,yxguassian,sym,0,0.7,3
0.6,0.2051,yxguassian,sym,0,0.7,3
0.7,0.1295,yxguassian,sym,0,0.7,3
0.8,0.2057,yxguassian,sym,0,0.7,3
0.9,0.27655,yxguassian,sym,0,0.7,3
0.1,0.79965,yxguassian,sym,0,0.8,3
0.2,0.8705,yxguassian,sym,0,0.8,3
0.3,0.7943,yxguassian,sym,0,0.8,3
0.4,0.7187,yxguassian,sym,0,0.8,3
0.5,0.5015,yxguassian,sym,0,0.8,3
0.6,0.2813,yxguassian,sym,0,0.8,3
0.7,0.2057,yxguassian,sym,0,0.8,3
0.8,0.1295,yxguassian,sym,0,0.8,3
0.9,0.20035,yxguassian,sym,0,0.8,3
0.1,0.8705,yxguassian,sym,0,0.9,3
0.2,0.79965,yxguassian,sym,0,0.9,3
0.3,0.72345,yxguassian,sym,0,0.9,3
0.4,0.64785,yxguassian,sym,0,0.9,3
0.5,0.5015,yxguassian,sym,0,0.9,3
0.6,0.35215,yxguassian,sym,0,0.9,3
0.7,0.27655,yxguassian,sym,0,0.9,3
0.8,0.20035,yxguassian,sym,0,0.9,3
0.9,0.1295,yxguassian,sym,0,0.9,3
