noise_type,initial_noise,noise_rate,mean,std
sym,0.4,0.8,0.8265879999999999,0.0018473007335028286
sym,0.4,0.9,0.9005839999999999,0.0019604795331754727
sym,0.5,0.1,0.310264,0.0008382601028320753
sym,0.5,0.2,0.38452000000000003,0.0011824550731423232
sym,0.5,0.3,0.458364,0.0011870467556082407
sym,0.5,0.4,0.5322359999999999,0.001754901706649094
sym,0.5,0.5,0.60666,0.0016373148750316955
sym,0.5,0.6,0.67836,0.0011081516141756198
sym,0.5,0.7000000000000001,0.754204,0.0021980172883761108
sym,0.5,0.8,0.8265879999999999,0.0018473007335028286
sym,0.5,0.9,0.9005839999999999,0.0019604795331754727
sym,0.6,0.1,0.310264,0.0008382601028320753
sym,0.6,0.2,0.38452000000000003,0.0011824550731423232
sym,0.6,0.3,0.458364,0.0011870467556082407
sym,0.6,0.4,0.5322359999999999,0.001754901706649094
sym,0.6,0.5,0.60666,0.0016373148750316955
sym,0.6,0.6,0.67836,0.0011081516141756198
sym,0.6,0.7000000000000001,0.754204,0.0021980172883761108
sym,0.6,0.8,0.8265879999999999,0.0018473007335028286
sym,0.6,0.9,0.9005839999999999,0.0019604795331754727
sym,0.7,0.1,0.310264,0.0008382601028320753
sym,0.7,0.2,0.38452000000000003,0.0011824550731423232
sym,0.7,0.3,0.458364,0.0011870467556082407
sym,0.7,0.4,0.5322359999999999,0.001754901706649094
sym,0.7,0.5,0.60666,0.0016373148750316955
sym,0.7,0.6,0.67836,0.0011081516141756198
sym,0.7,0.7000000000000001,0.754204,0.0021980172883761108
sym,0.7,0.8,0.8265879999999999,0.0018473007335028286
sym,0.7,0.9,0.9005839999999999,0.0019604795331754727
sym,0.8,0.1,0.310264,0.0008382601028320753
sym,0.8,0.2,0.38452000000000003,0.0011824550731423232
sym,0.8,0.3,0.458364,0.0011870467556082407
sym,0.8,0.4,0.5322359999999999,0.001754901706649094
sym,0.8,0.5,0.60666,0.0016373148750316955
sym,0.8,0.6,0.67836,0.0011081516141756198
sym,0.8,0.7000000000000001,0.754204,0.0021980172883761108
sym,0.8,0.8,0.8265879999999999,0.0018473007335028286
sym,0.8,0.9,0.9005839999999999,0.0019604795331754727
sym,0.9,0.1,0.310264,0.0008382601028320753
sym,0.9,0.2,0.38452000000000003,0.0011824550731423232
sym,0.9,0.3,0.458364,0.0011870467556082407
sym,0.9,0.4,0.5322359999999999,0.001754901706649094
sym,0.9,0.5,0.60666,0.0016373148750316955
sym,0.9,0.6,0.67836,0.0011081516141756198
sym,0.9,0.7000000000000001,0.754204,0.0021980172883761108
sym,0.9,0.8,0.8265879999999999,0.0018473007335028286
sym,0.9,0.9,0.9005839999999999,0.0019604795331754727
